trade_num,entry_date,exit_date,days_held,position_size,position_type,entry_price,exit_price,price_change,price_change_pct,trade_return_pct,profit_loss,entry_fg_value,entry_fg_change,entry_fg_momentum_short,entry_fg_momentum_medium,entry_fg_momentum_long,entry_fg_velocity,entry_fg_acceleration,entry_fg_zscore,entry_volatility,entry_price_momentum,entry_fg_price_corr,exit_fg_value,exit_fg_momentum_short,exit_fg_velocity,exit_volatility,entry_signal_strength
50,2014-01-09,2014-01-10,1,1.518,LONG,150.4303741455078,150.83993530273438,0.4095611572265625,0.2722596148237999,0.41329009530252825,PROFIT,68,4.0,1.6666666666666714,1.3333333333333286,0.5833333333333286,1.3333333333333333,2.0,0.6810137242167895,0.09699405169952893,0.011431905786211338,0.7079618111355501,66,0.0,-0.3333333333333333,0.08546085234324514,1.4520000000000002
51,2014-02-07,2014-02-20,13,1.7939999999999998,LONG,147.18649291992188,150.8072052001953,3.6207122802734375,2.4599487415216226,4.413148042289791,PROFIT,22,5.0,2.333333333333332,4.166666666666668,-0.6666666666666679,2.3333333333333335,1.0000000000000002,-1.754502879114437,0.1646903462057922,-0.0034689736026844997,0.9172858913424824,45,3.0,5.0,0.1614878378181747,1.7160000000000002
52,2014-02-21,2014-02-28,7,1.7939999999999998,LONG,150.6351776123047,152.60110473632812,1.9659271240234375,1.3050916493644094,2.3413344189597503,PROFIT,48,3.0,4.0,8.666666666666664,16.0,2.0,-3.0,-0.06309890861464008,0.1586604544675075,0.021906628671553463,0.8091629212258967,56,-2.6666666666666643,-0.3333333333333333,0.12450025733956377,1.2100000000000002
53,2014-03-03,2014-03-11,8,1.9734,LONG,151.5280303955078,153.37110900878906,1.84307861328125,1.2163284961010712,2.400302654205854,PROFIT,63,7.0,2.6666666666666643,4.5,14.083333333333336,1.6666666666666667,2.0,0.8298495557617243,0.1255430629008988,0.016396072863624545,0.8867306688379485,76,-3.3333333333333286,-1.3333333333333333,0.08327275294720576,1.4520000000000002
54,2014-03-31,2014-04-04,4,1.9734,LONG,153.86705017089844,153.36509704589844,-0.501953125,-0.3262252213469319,-0.6437728518060354,LOSS,50,14.0,10.0,7.5,3.1666666666666643,2.3333333333333335,4.666666666666667,0.0938169342175735,0.09956440132117649,0.004895264296393309,0.597005847430843,49,-2.0,-0.6666666666666666,0.09982192162172639,1.4520000000000002
55,2014-04-21,2014-04-25,4,1.9734,LONG,153.89166259765625,153.27462768554688,-0.617034912109375,-0.4009540878914253,-0.7912427970449387,LOSS,38,10.0,6.666666666666668,11.166666666666668,5.333333333333336,5.0,3.333333333333333,-0.2327246359164558,0.13592849258109344,0.007256265288853925,0.5692318153596875,35,-3.0,-1.6666666666666667,0.1358368314259792,1.4520000000000002
56,2014-05-05,2014-05-08,3,1.265,LONG,155.0271453857422,154.41827392578125,-0.6088714599609375,-0.39275151357908156,-0.4968306646775381,LOSS,34,2.0,2.0,1.1666666666666643,-0.75,0.3333333333333333,1.0,-0.6897941489685857,0.12338630184848198,0.011621154309510384,0.5123456766602544,33,-0.3333333333333357,-0.3333333333333333,0.11576922402656807,1.4520000000000002
57,2014-05-09,2014-05-13,4,1.9734,LONG,154.6486358642578,156.29421997070312,1.6455841064453125,1.0640792899652363,2.0998540708173974,PROFIT,42,9.0,6.0,7.333333333333336,7.583333333333336,2.6666666666666665,3.0,-0.20825403511712412,0.08446858234424548,0.006285098756486862,0.5880154589833304,39,-3.0,2.0,0.07748266686679876,1.4520000000000002
58,2014-05-22,2014-06-04,13,1.9734,LONG,155.98977661132812,158.9517822265625,2.962005615234375,1.8988459882307795,3.7471826731746205,PROFIT,36,7.0,7.333333333333332,8.0,2.8333333333333357,3.3333333333333335,3.0,-0.4661031653528877,0.08618318318101285,0.007490077357867886,0.5729169157642005,66,2.6666666666666643,7.0,0.07347231781984488,1.4520000000000002
59,2014-06-05,2014-06-12,7,1.9734,LONG,159.98846435546875,159.23971557617188,-0.748748779296875,-0.4680017289454552,-0.9235546119009613,LOSS,81,15.0,10.0,21.333333333333336,34.083333333333336,7.666666666666667,0.666666666666667,3.424616287978564,0.07398360438908005,0.021660027170105067,0.8157538592644706,83,-4.0,-2.0,0.07368616961727628,1.4520000000000002
