Trade,Buy Date,Sell Date,Buy Price,Sell Price,Return % (price),Shares,PnL Raw,PnL After Tax,Portfolio Value,Result
137,2016-11-21,2016-12-02,190.56,190.16,-0.21,402,-163.37,-163.37,38099.26,LOSS
138,2016-12-05,2016-12-14,191.3,195.52,2.21,398,1682.56,1122.27,39221.53,WIN
139,2017-01-03,2017-01-05,196.12,197.13,0.52,400,404.0,269.47,39490.99,WIN
140,2017-01-24,2017-01-30,198.17,198.13,-0.02,399,-17.34,-17.34,39473.66,LOSS
141,2017-02-03,2017-02-07,199.69,199.34,-0.17,395,-137.7,-137.7,39335.96,LOSS
142,2017-02-08,2017-02-17,199.6,204.69,2.55,394,2007.65,1339.1,40675.06,WIN
143,2017-02-21,2017-02-23,205.91,205.87,-0.02,395,-17.19,-17.19,40657.87,LOSS
144,2017-03-01,2017-03-03,208.78,207.59,-0.57,389,-461.21,-461.21,40196.66,LOSS
145,2017-03-28,2017-04-05,205.79,205.31,-0.23,391,-184.47,-184.47,40012.18,LOSS
146,2017-04-18,2017-04-28,204.52,208.2,1.8,391,1440.52,960.83,40973.01,WIN
147,2017-05-08,2017-05-17,209.58,206.22,-1.6,391,-1313.0,-1313.0,39660.02,LOSS
148,2017-05-22,2017-05-23,209.46,209.92,0.22,379,175.51,117.07,39777.08,WIN
149,2017-05-24,2017-05-30,210.41,211.19,0.37,378,294.29,196.29,39973.38,WIN
150,2017-06-02,2017-06-06,213.52,212.69,-0.39,374,-314.33,-314.33,39659.05,LOSS
151,2017-06-19,2017-06-20,215.0,213.55,-0.67,369,-534.9,-534.9,39124.14,LOSS
152,2017-06-23,2017-06-27,213.65,212.07,-0.74,366,-579.32,-579.32,38544.83,LOSS
153,2017-06-28,2017-06-29,213.97,212.09,-0.88,360,-677.55,-677.55,37867.27,LOSS
154,2017-07-05,2017-07-06,213.34,211.38,-0.91,355,-692.52,-692.52,37174.75,LOSS
155,2017-07-13,2017-07-18,214.79,215.88,0.51,346,377.18,251.58,37426.33,WIN
156,2017-07-19,2017-07-21,217.04,216.95,-0.04,345,-33.36,-33.36,37392.97,LOSS
157,2017-07-25,2017-07-27,217.42,217.23,-0.09,344,-66.52,-66.52,37326.45,LOSS
158,2017-08-15,2017-08-16,216.62,217.0,0.17,345,130.21,86.85,37413.3,WIN
159,2017-08-22,2017-09-01,215.68,217.79,0.98,347,731.66,442.85,37856.14,WIN
160,2017-09-11,2017-09-21,218.99,220.24,0.57,346,430.7,252.82,38108.97,WIN
161,2017-09-27,2017-10-09,220.82,224.27,1.56,345,1188.77,697.81,38806.77,WIN
162,2017-10-17,2017-10-25,225.61,225.45,-0.07,344,-54.69,-54.69,38752.09,LOSS
163,2017-11-20,2017-11-27,228.11,229.81,0.75,340,579.1,339.93,39092.02,WIN
164,2017-11-28,2017-12-04,232.15,233.27,0.48,337,377.73,221.73,39313.75,WIN
165,2017-12-08,2017-12-20,234.48,237.02,1.09,335,854.31,501.48,39815.23,WIN
166,2018-01-02,2018-01-12,238.57,246.69,3.4,334,2710.94,1591.32,41406.55,WIN
167,2018-01-19,2018-01-24,248.9,251.36,0.99,333,818.07,480.2,41886.76,WIN
168,2018-02-13,2018-02-22,236.11,240.02,1.65,355,1385.74,813.43,42700.19,WIN
169,2018-02-26,2018-02-27,246.67,243.59,-1.25,346,-1066.32,-1066.32,41633.87,LOSS
170,2018-03-05,2018-03-08,241.6,243.3,0.7,345,584.33,343.0,41976.87,WIN
171,2018-03-09,2018-03-13,247.53,245.63,-0.77,339,-647.23,-647.23,41329.63,LOSS
172,2018-04-04,2018-04-06,234.88,231.46,-1.46,352,-1204.32,-1204.32,40125.31,LOSS
173,2018-04-10,2018-04-20,236.3,237.6,0.55,340,441.87,259.38,40384.69,WIN
174,2018-04-23,2018-04-24,237.56,234.36,-1.35,340,-1087.77,-1087.77,39296.93,LOSS
175,2018-04-26,2018-05-02,237.33,234.56,-1.17,331,-917.84,-917.84,38379.08,LOSS
176,2018-05-07,2018-05-15,237.88,241.6,1.57,323,1202.04,705.6,39084.68,WIN
177,2018-05-21,2018-05-23,243.62,243.61,-0.0,321,-2.87,-2.87,39081.81,LOSS
178,2018-06-01,2018-06-13,243.83,247.78,1.62,321,1265.56,742.88,39824.7,WIN
179,2018-07-06,2018-07-11,246.55,247.84,0.52,323,416.42,244.44,40069.14,WIN
180,2018-07-12,2018-07-13,250.09,250.29,0.08,320,63.1,37.04,40106.17,WIN
181,2018-07-18,2018-07-19,251.6,250.65,-0.38,319,-302.52,-302.52,39803.65,LOSS
182,2018-07-23,2018-07-27,250.83,251.92,0.44,317,346.62,203.47,40007.12,WIN
183,2018-08-02,2018-08-09,252.79,255.19,0.95,317,759.38,445.76,40452.88,WIN
184,2018-08-20,2018-08-23,255.73,255.84,0.04,316,33.98,19.94,40472.82,WIN
185,2018-08-24,2018-08-30,257.38,259.87,0.97,315,785.45,461.06,40933.88,WIN
186,2018-09-11,2018-09-17,258.75,259.01,0.1,316,82.12,48.2,40982.09,WIN
187,2018-09-18,2018-09-19,260.42,260.7,0.11,315,87.35,51.27,41033.36,WIN
188,2018-09-20,2018-09-24,262.81,261.7,-0.42,312,-347.37,-347.37,40685.99,LOSS
189,2018-10-03,2018-10-04,262.33,260.28,-0.78,310,-635.98,-635.98,40050.01,LOSS
190,2018-10-15,2018-10-23,246.75,246.04,-0.29,325,-230.59,-230.59,39819.41,LOSS
191,2018-10-30,2018-11-01,240.79,245.95,2.14,331,1707.2,1002.12,40821.54,WIN
